date,code,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange,snapshot_date,vietnameseName
11/19/2021,FUCVREIT,15:11:05,HOSE,IFC,13.2,14.1,12.3,13.2,13.2,12.3,12.3,12.69,13.2,13.2,12.3,12.3,12.69,44000,558205000,0,0,-0.9,-0.9,-6.8182,11/19/2021,Tài chính
11/19/2021,HCM,15:11:05,HOSE,STOCK,48.1,51.4,44.75,48.5,48.5,44.8,46.6,47.17,47.955,47.955,44.297,46.076,46.64,6525400,3.07792E+11,0,0,-1.5,-1.4831,-3.1185,11/19/2021,Tài chính
11/22/2021,E1VFVN30,15:11:04,HOSE,ETF,25.5,27.28,23.72,25.11,25.65,25.11,25.25,25.45,25.11,25.65,25.11,25.25,25.45,414400,10544727000,1700000,43285400000,-0.25,-0.25,-0.9804,11/22/2021,Tài chính
11/22/2021,FUCTVGF3,15:11:04,HOSE,IFC,12,12.8,11.2,12,12,12,12,0,12,12,12,12,0,0,0,0,0,0,0,0,11/22/2021,Tài chính
11/9/2021,FUCTVGF3,15:11:05,HOSE,IFC,11.9,12.7,11.1,11.9,11.9,11.9,11.9,0,11.9,11.9,11.9,11.9,0,0,0,0,0,0,0,0,11/9/2021,Tài chính
10/6/2021,FUESSV50,15:10:03,HOSE,ETF,21.5,23,20,21.5,21.6,21.5,21.6,21.52,21.5,21.6,21.5,21.6,21.52,23200,499190000,0,0,0.1,0.1,0.4651,10/6/2021,Tài chính
10/8/2021,FUESSV50,15:10:03,HOSE,ETF,21.5,23,20,21.5,21.6,20.8,21.6,21.09,21.5,21.6,20.8,21.6,21.09,85700,1807348000,0,0,0.1,0.1,0.4651,10/8/2021,Tài chính
10/5/2021,HCM,15:10:02,HOSE,STOCK,48.3,51.6,44.95,48.9,50.8,48.8,50.2,49.77,36.867,38.299,36.791,37.847,37.523,3975000,1.97845E+11,0,0,1.9,1.4325,3.9337,10/5/2021,Tài chính
10/14/2021,HCM,15:10:02,HOSE,STOCK,37.9,40.55,35.25,38,38.5,37.95,38.15,38.22,37.573,38.067,37.524,37.721,37.791,2918400,1.11545E+11,0,0,0.25,0.2472,0.6596,10/14/2021,Tài chính
10/14/2021,FUESSV50,15:10:02,HOSE,ETF,21.9,23.43,20.37,22,22,21.99,21.99,22,22,22,21.99,21.99,22,3300,72594000,0,0,0.09,0.09,0.411,10/14/2021,Tài chính
10/12/2021,HCM,15:10:02,HOSE,STOCK,39,41.7,36.3,39.3,39.35,38.5,38.5,38.81,38.858,38.908,38.067,38.067,38.374,2914700,1.13131E+11,0,0,-0.5,-0.4944,-1.2821,10/12/2021,Tài chính
